ICON
NATURE LINE
4C SRL - CANONE ASSISTENZA OK
MP BERGAMO
MINADEK SPA
AQUATECHNIK (00151) - CANONE OK
STOPPIONI
ZELLERS
MAR PLAST
BMZ MOULDS
SKT SOLMSER KUNSTSTOFFTECHNIK GMBH
PLASGOMMA
GAPOSA
SIE - NO CANONE
SWISS PRIME TECH
VIROPLASTIC
SMATER
SABAPLAST
SAMPA SRL
TECHNO PLAST SRL
RECO TECH SRL
ALFA PLASTIC SRL (00127) - CANONE OK
SARNO DISPLAY
MAPRO POLSKA
METALPLAST
GIANAZZA ANGELO SPA
MKT (METALL-UND KUNSTSOFF-TECHNIK) GMBH
PASIN PLAST - NO CANONE
2TS (00314) - CANONE OK
EUROPLASTICS
PLAMAST - NO CANONE
DAKOTA
IN PLAST
IMBALLAGGI FIDALEO RINALDO SRL
LAGOPLAST
UNITA' 3 - NO CANONE
REALPLAST SRL  - NO CANONE
NOVAPLAST
COMPOTEK S.R.L.
THILIOPLAST - NO CANONE
CALLEGARI
TRE A
BETATEX
BREVETTI STENDALTO (MESERO) - CANONE OK
2001 SRL (00235) - CANONE OK
2-GR SRL (00117) - CANONE OK
ADAMO SRL - NO CANONE (!)
ALPOC SRL (00116) - CANONE OK
AMALPLAST (00002-00052)
ARCHMAN - NON PIU' NS CLIENTE
AFFABA FERRARI - NON PIU' NS CLIENTE
ATG SRL (00065) - NO CANONE (!)
ATP (00165) - CANONE OK
ASTON SEALS (00030) - CANONE OK
AUTRONICA (00150) - CANONE OK
BALDAN (00021) - CANONE OK
BASCHIERI E PELLAGRI (00139) - NO CANONE
BEAR PLAST (00038) - CANONE OK
BELLUNO PLAST (00029) - CANONE OK
BIOTTI PLAST SAS - NO CANONE (!)
CASOTTO (CIEFFEPLAST)
CERANTOLA - NO CANONE (!)
COBO SPA
COLTELLERIA BONOMI
COMITEL SRL - NO CANONE
COSMAPLAST
TECNOPLAST (ORA COSMA GROUP SRL)
DEA STAMPI
DESIGNER CLUB
DOLFI
ELLETIEMME - NO CANONE
ELETTROPLASTICA FILIGNANESE SRL
EMMEPI
EMMEPLAST
F.LLI CREMONESI
POLIBOX ITALIANA (FANTIPLAST SRL)
LMP - NO CANONE
ELLETIPI
TECNODIDATTICA
ITAFLON
SP PLAST - CANONE OK
SINTESY PLAST - NO CANONE
LAR
MAC3
RASIM
OFF. CANTINI
INDUSTRIE RESINE STAMPATE
LR STAMPI - NO CANONE
LO STAMPO - NO CANONE
MULTIBOX
MUNARI
POLMIX
ODAG - NO CANONE
NEW MABIPLAST
ITALPROFILI
LA MECCANOPLASTICA - CANONE OK
THERMOPLASTIK SRL
LCS
GIORDANO POULTRY PLAST - CANONE OK
SGB STAMPLAST SRL
GST PLAST
PLASTING
TIT EUROPE
PEG PEREGO
PLASTER
TERMOPLAST ( DAKOTA )
PARASACCHI SRL
TROMAPLAST SRL
LEROMAX
PAGI PLAST
PLASTICLINE
TECNOTORICA
IDEOPLAST - CANONE OK
IMG
RB SPA - NO CANONE
W.F.
FEMM
G.A.E. - CANONE OK
MAXMARA
MAX DI MUSELLI RACHELE - NO CANONE
NUOVA C PLASTICA
FLPLAST - NO CANONE (!)
FONTANINI - CANONE OK
MI-MEC
PIPLASTIC
DUE PI
SILO LORINI STAMPI
MANUTEK - NO CANONE
VI-TECHNIK
GIESSE TECH (GS PLAST) - NO CANONE (!)
PUNTO PACK
SEREPLAST (00002-00013)
LB PLAST
PLASTIKA9000
RICOPLAST
GRIMONT
GLOSS TECH - CANONE OK
RAMACIOTTI
TERRY STORE AGE
ARS ELETTROMECCANICA - NON NS CLIENTE
PLASTISERVICE - NO CANONE
STARPLASTIC
SA.GE
GIELLE PLAST - CANONE OK
RACIPLASTIC - NO CANONE
KARIBA  SPA
PLASTIC77
PLAST ART - NO CANONE
FAP SRL
P PARMA
PAR.CO.
RAMACCIOTTI
SELEPLASTIC - NO CANONE
NUOVA SAIMPA
OMCS
WIRECAB \\ SGT - NO CANONE
MILEVA - NO CANONE
VACUUM ITALIA
ITALIANA RESINE  - NO CANONE
GEORPLAST - CANONE OK
PLASTICA ALTO SELE SPA
PLASTICA NARDON
LAPE SNC - NON PIU' NS CLIENTE
MARGIPLAST
LIFE HOME INTEGRATION - NO CANONE
SPM
INTRATECH SRL
RL ENGINEERING - NO CANONE
REYPLAST
ROOFY
PRES-X
SATI PLAST - NO CANONE
IMET SRL
HIGH PLAST
LIVANOVA (SORIN)
OSMAP - NO CANONE
TECNA
MANIFATTURE SNC - NO CANONE
HAITIAN
STILPLAST - NO CANONE
MG PLAST DI MAIOCCHI G.
VALVON
VIMA
VITRANPLASTIK - NO CANONE
ZETA STAMPI
ZEWELLER
